gene_id1,gene_id2,p_val_cond
Pdia3,Serpinh1,2.393769359749815e-21
Col1a1,Serpinf1,4.793795616331668e-21
Col1a1,Gas1,6.509440866217183e-21
Serpine1,Thbs1,7.474679665990898e-21
Col5a1,P4hb,7.649010240960291e-21
Bgn,Itgb1,1.834442588291012e-20
Calu,Fbln2,2.440890010372957e-20
Col6a1,Serpinh1,2.868561760385948e-20
Fn1,Serpinf1,3.447840367778853e-20
Bgn,Igf2,4.012648174742483e-20
P4hb,Postn,4.344702761504737e-20
Fn1,Tgfbr3,5.423266441876229e-20
Fn1,Myadm,5.724966265690575e-20
Nid1,Ptx3,5.844951501289755e-20
Fn1,Loxl3,7.131245596920882e-20
P4hb,Serpinh1,1.039293245974236e-19
Emp1,Sdc4,3.01741522390507e-19
Calu,Col6a2,3.070281281991435e-19
Cd248,Col5a1,4.316131369612242e-19
Lox,Nid1,4.591358518214685e-19
Ckap4,Fn1,5.447208068102083e-19
Col6a1,Nid1,5.914976106037911e-19
Fbln2,Lamc1,7.515907034484943e-19
Col1a1,Ctsd,7.942608889105698e-19
Fn1,Itgav,1.206396838436427e-18
Fn1,Timp3,1.505839826303403e-18
Emp1,P4hb,2.111086253575672e-18
Pdia3,Pdia6,2.145515389088303e-18
Fn1,Ltbp1,3.283424175077332e-18
Fn1,Glg1,4.720342635914826e-18
Pdia3,Postn,6.231103571097798e-18
Col1a1,Slc38a2,7.541259558816531e-18
Nid1,Serpinh1,8.281786455325573e-18
Col1a1,Fbn1,1.138900937624958e-17
Col6a1,P4hb,1.384928224215445e-17
Crim1,Fn1,1.501010636289728e-17
Macf1,Plec,1.664808410922662e-17
Calu,Emp1,1.678752204400956e-17
Emp1,Fbln2,2.053171254402749e-17
Igf2,P4hb,2.737212785587651e-17
Bgn,Pcolce,2.987710222585927e-17
Col1a1,Glg1,3.132751994625359e-17
Lox,Serpinh1,3.360889000448551e-17
Aebp1,Tnc,4.05619660908289e-17
Axl,Fn1,4.350896004094391e-17
Fn1,Slit2,5.425809463673407e-17
Fn1,Npnt,5.992119014606575e-17
Col5a2,Postn,6.150928011735842e-17
Lox,Pdia3,6.982622421250998e-17
Col5a1,Postn,7.117717617938978e-17
Calu,Itgb1,7.340619652316757e-17
Lox,Serpinf1,7.499777587818693e-17
Itgb1,Vcl,7.686625714152452e-17
Col6a1,Lox,8.76121945643478e-17
Col1a1,Serpine1,8.947089881825437e-17
Bgn,Fstl1,1.130519165192503e-16
Col1a1,Vasn,1.35587800931948e-16
Bgn,Cd248,1.433994518497075e-16
Col1a1,Pcdh19,1.466560146281048e-16
Ckap4,Fbln2,1.626167405580894e-16
Col6a3,Nid1,1.638160461792112e-16
Col1a1,Sec61a1,1.685657084147293e-16
Itgb1,P4hb,1.71777169649992e-16
Fn1,Sec61a1,1.748984407185715e-16
Col16a1,Fbln2,2.211262454355976e-16
Aebp1,Pdia6,2.242901327518925e-16
Fbln2,Itgav,2.634544614924878e-16
Bgn,Dlk1,2.815945942595996e-16
Col16a1,Col1a1,2.978071097525317e-16
Fn1,Fstl1,3.271069655197056e-16
Col1a1,Man2a1,3.448192055385141e-16
Thbs1,Tnc,3.501451159628959e-16
Aebp1,Col6a1,3.825290410068933e-16
P4hb,Sdc4,4.125281039041728e-16
P4hb,Pdia3,4.217830269525548e-16
Col6a2,Sdc4,4.348937397572177e-16
Cd248,Fbln2,4.468426758144119e-16
Fn1,Ganab,4.715405881182928e-16
Col6a1,Postn,5.679841882115323e-16
Axl,Postn,6.000419931894652e-16
Il6st,Lox,6.128051283984197e-16
Pdia6,Sdc4,7.057003182963213e-16
Slc38a2,Vasn,7.58399158950233e-16
Adamts1,Col1a1,7.940422491089529e-16
Aebp1,Serpinh1,8.16760016231696e-16
Col6a2,Igf2,9.511464421751638e-16
Fbln2,Lrp1,9.541436664610204e-16
Col6a1,Pdia6,1.170782924139912e-15
Col5a1,Col6a3,1.22467498306482e-15
Cdh11,Fn1,1.273143411523068e-15
Col5a1,Col5a2,1.534080861449683e-15
Cd248,Col1a1,1.566256414283245e-15
Fbln2,Itgb1,1.631673230006527e-15
Fbln2,Loxl3,1.866656988182427e-15
Ptx3,Thbs1,2.305636310237538e-15
Dynll2,Sh3pxd2a,2.351127620352233e-15
Col6a2,Tnc,2.373142954037678e-15
Col1a1,Myadm,2.511287170324054e-15
Fkbp9,P4hb,2.828603519239332e-15
Hspg2,Nid1,2.8587174855415e-15
Col1a1,Pxdn,3.65945524100818e-15
Cyb5r3,Dynll2,3.775227692548949e-15
Col5a1,Emp1,4.576904896629906e-15
Col6a2,Pdia4,4.75129495510799e-15
Bgn,Col5a2,4.886676098121634e-15
Lox,Thbs1,5.124280718013825e-15
Lox,Ptx3,5.476137321995385e-15
Col1a1,Igf2,5.538101649104043e-15
Col5a1,Tnc,6.847721160139386e-15
Col3a1,Lox,8.954328629518559e-15
Fbln2,Pdia4,8.98278589368622e-15
Col6a3,Thbs1,9.583474571107626e-15
Col1a1,Itgav,1.404259846930219e-14
Bgn,Sec61a1,1.406802096799206e-14
Bgn,Fkbp9,1.51837615950027e-14
Fbln2,Serpinf1,1.563065542763667e-14
Col1a1,Rpn2,1.94547453184265e-14
Col3a1,Col6a2,1.95054723080752e-14
Fn1,Rpn2,2.005716104758323e-14
Col1a1,Crim1,2.088431143153939e-14
Bgn,Rpn2,2.604865558806688e-14
Flnc,Plec,3.196400518375839e-14
Aebp1,Col5a1,3.530763314051255e-14
Polr2a,Polr2b,3.5534445669733e-14
Axl,Fbln2,4.356090299335348e-14
Fn1,Igf2,4.632935480506827e-14
Emp1,Serpinh1,5.262437210275422e-14
Aebp1,Lox,5.562384240526941e-14
Col5a2,P4hb,5.88679056731019e-14
Fbln2,Vcl,6.058633114404465e-14
Pdia6,Postn,7.679937806277004e-14
Lox,Sdc4,7.712030583149105e-14
Col6a2,Dlk1,7.995001264857666e-14
Aebp1,Calu,8.349494497253645e-14
Bgn,Ckap4,8.696191085759851e-14
Adamts1,Ptx3,8.859510146700061e-14
Col1a1,Slit2,1.01888399730424e-13
Fbln2,Il6st,1.03875221325279e-13
Clstn1,Col1a1,1.062483434566275e-13
P4hb,Timp3,1.187938636348917e-13
Adamts1,Slc38a2,1.222355550112297e-13
Col1a1,Loxl3,1.282307593442056e-13
Lox,Ltbp2,1.352251643993441e-13
Nid1,Pdia3,1.533217997007341e-13
Vasn,Vcan,1.566524687746096e-13
Nr2f1,Nr2f2,1.630917623174355e-13
Col3a1,Col5a1,1.701971896750365e-13
Ctsd,Fn1,2.02393657389166e-13
Emp1,Postn,2.05613304160579e-13
Col3a1,Col5a2,2.103872631664672e-13
Col5a1,Itgb1,2.149391775674303e-13
Aplp2,Fn1,2.426947531830592e-13
Fn1,Hyou1,2.806643806252396e-13
Arhgap11a,Sh3pxd2a,2.898792317296284e-13
Col5a1,Pdia6,2.928768338961163e-13
