gene_id1,gene_id2,p_val_cond
Col4a2,P4hb,1.70383143149877e-08
Axl,Col5a2,1.705459318213087e-08
Col1a1,Sfrp2,1.709653152381918e-08
Ganab,Itgb1,1.739197330596909e-08
Nid1,Sec61a1,1.739215838014729e-08
Aebp1,Angptl2,1.741267141586178e-08
Clstn1,Fbln2,1.783988690107208e-08
Fbln2,Stt3a,1.827874573923083e-08
Col4a2,Thbs1,1.842534447238364e-08
Col1a1,Fkbp9,1.914544756065339e-08
Serpine1,Slc38a2,1.948483874247842e-08
Col5a1,Il6st,1.952592521003993e-08
Itgb1,Pdia3,1.987746345299968e-08
Cyb5r3,Dync1li2,2.04508995294006e-08
Nucb1,P4hb,2.083964889543211e-08
Fn1,Serpine1,2.125926257257049e-08
Aqp1,Emp1,2.185177561120355e-08
Adamts1,Thbs1,2.395192666426738e-08
P4hb,Slc7a5,2.427310907826552e-08
Lox,Thbd,2.557924017043689e-08
Emp1,Pdia4,2.597717263519428e-08
Ckap4,Serpinf1,2.599112358669942e-08
Col5a1,Dlk1,2.663416864834289e-08
Emp1,Man2a1,2.671759269379237e-08
Man2a1,P4hb,2.810440802303305e-08
Dag1,Lox,2.843281243780638e-08
Cd109,Thbs1,2.914599039893773e-08
Il6st,Thbs1,2.959034861582666e-08
Fbn1,Ptx3,2.989189484825516e-08
Glg1,Serpinh1,3.05008135415008e-08
Col16a1,Col5a1,3.055903252668912e-08
Loxl3,Pdia3,3.240603807519449e-08
Fkbp10,Nid1,3.254211078385083e-08
Cdh11,Col6a2,3.26941987927043e-08
Col5a1,Fbn1,3.330526909817166e-08
Fbln2,Grn,3.418332505944477e-08
Col1a1,Tmem97,3.92697113715812e-08
Loxl3,Sec61a1,3.952588611966235e-08
Bgn,Npnt,3.96176635941714e-08
P4hb,Vcl,3.988521923847799e-08
Cd248,Serpinh1,4.019154775658507e-08
Col1a1,Grn,4.038080259061161e-08
Emp1,Sec61a1,4.055338909125794e-08
Hspg2,Serpine1,4.110438511784054e-08
Col1a1,Pigt,4.175618184554253e-08
Axl,Col3a1,4.182038670919042e-08
Polr2b,Prpf8,4.185151236679729e-08
Myadm,Ncln,4.194850855565591e-08
Anln,Flna,4.207697457125903e-08
Col1a1,Nucb1,4.278635501453465e-08
Dlk1,Serpinf1,4.350025972765792e-08
Col6a2,Ctsd,4.35350777650001e-08
Pdia6,Sec61a1,4.432421529809716e-08
Aqp1,Col5a1,4.435029343774488e-08
Bgn,Myadm,4.469984704602581e-08
Hspg2,Lrp1,4.51491585229391e-08
Fbln2,Fbn1,4.625238558819689e-08
Col6a1,Ltbp1,4.645256423962962e-08
Fbln2,Hyou1,4.664767605522258e-08
Sdc4,Sec61a1,4.715664125853891e-08
Col5a1,Ctsd,4.782885765219902e-08
Ppp1r15b,Sgk1,4.81370708849127e-08
Emp1,Lamc1,5.096462940556989e-08
Nid1,Plxna1,5.116036849717176e-08
Pxdn,Thbs1,5.142507863986623e-08
Bgn,Emilin2,5.173172956673966e-08
Col1a1,Tpbg,5.215446508000099e-08
Itgb1,Vcan,5.222249566116943e-08
Dhcr24,Sdc4,5.284795934201725e-08
Fbln5,Fn1,5.330819463633674e-08
Pdia4,Thbs1,5.333847286070892e-08
Adamts1,Ldlr,5.401253111436688e-08
Aqp1,Fkbp10,5.434062666509476e-08
Col3a1,Vcan,5.604397923519855e-08
Aebp1,Ltbp1,5.761732846387702e-08
Myadm,Pdia3,5.828753690817479e-08
Axl,Col5a1,5.865385466208295e-08
Cd248,Postn,6.099394311842588e-08
Bgn,Sdc1,6.123612050767946e-08
Fbln2,Hspg2,6.17778850298123e-08
Dhcr24,Postn,6.272437347298876e-08
Nid1,Slc38a10,6.336335123258152e-08
Aebp1,Dhcr24,6.422615861367831e-08
Adamts1,Fbln2,6.437336130815652e-08
Sec61a1,Serpinf1,6.643580074960909e-08
Col6a2,Slc38a10,6.698623522538583e-08
Aebp1,Lamc1,6.775999861208248e-08
Fat1,Nid1,6.801118301869025e-08
Col5a2,Nid1,7.047244487967674e-08
Col6a3,Ganab,7.095767884379711e-08
Lox,Pdia4,7.285783654165101e-08
Ckap4,Slit2,7.390027789710985e-08
Dlk1,Emp1,7.520517464332244e-08
Col5a1,Myadm,7.534771284678499e-08
Col6a2,Npnt,7.545783031748243e-08
Bgn,Ganab,7.574202820492815e-08
Col5a2,Thbs1,7.660619782967615e-08
Ltbp2,Vcan,7.73305568468885e-08
Col6a1,Vcl,7.760854237037762e-08
Nploc4,Utp20,7.800725021489541e-08
Col3a1,Pdia6,7.828400083731424e-08
Crim1,Il6st,7.946979629913642e-08
Adamts1,Hspg2,8.136097484623406e-08
Lox,Man2a1,8.289154451723846e-08
Col6a2,Ltbp1,8.292700204304282e-08
Lox,Ltbp1,8.366702231032974e-08
Col1a1,Hmgcr,8.507225479625902e-08
Lox,Rpn2,8.508930382511437e-08
Atp1a1,Fbln2,8.562319087079828e-08
Npnt,Pdia3,8.728185763029472e-08
Degs1,Pdia6,8.881623814183115e-08
Itgb1,Man2a1,9.290023739172426e-08
P4hb,Ptx3,9.404452039341038e-08
Col5a1,Serpinf1,9.427602465361673e-08
Igfbp6,P4hb,9.501014308632705e-08
Bgn,Wls,9.759430630307264e-08
Fn1,Ptk7,9.795006572499432e-08
Fbln2,Wls,1.034720298331848e-07
Fbn1,Serpine1,1.04168690340245e-07
Col1a1,Sdc1,1.045241304620248e-07
Emp1,Igf2,1.051742397617517e-07
Emp1,Plxna1,1.054960774293789e-07
Bgn,Sfrp2,1.084750510527144e-07
Fn1,Plxnb2,1.086982159836936e-07
Col6a1,Vcan,1.094402786172566e-07
Col6a2,Pcdh19,1.117220507218519e-07
Col1a1,Fads1,1.120359086614897e-07
Col5a2,Lamc1,1.144699334210131e-07
Col6a2,Wls,1.152016707584025e-07
Hspg2,Tnc,1.160692786328354e-07
Lox,Sec61a1,1.163990962504968e-07
Crim1,Serpine1,1.168248784377823e-07
Cyp51,Fbln2,1.174048626095825e-07
Cd248,Pdia3,1.179316330146563e-07
Col6a1,Tnc,1.180375689413538e-07
Col5a1,Sec61a1,1.187802740609811e-07
Lamc1,Lox,1.200078102447932e-07
Lox,Vcl,1.201196763167545e-07
Cdh2,Col1a1,1.201590623667315e-07
Fbln2,Myadm,1.223387137150311e-07
Dlk1,Fn1,1.258023289985033e-07
Col16a1,Emp1,1.269376204149353e-07
Adamts5,Ckap4,1.282655852641312e-07
Cdh11,Col3a1,1.299012548638956e-07
Incenp,Top2a,1.33855700634733e-07
Ctsd,Vcl,1.350263796329187e-07
Ctsd,Nid1,1.364826838212707e-07
Col6a2,Pttg1ip,1.379256173716925e-07
Nid1,Npnt,1.406442889928528e-07
Pcolce,Pdia3,1.409133537633167e-07
Pcdh19,S1pr3,1.456410599898206e-07
Axl,P4hb,1.469619224092611e-07
Nid1,Slc7a1,1.495042621924014e-07
Lrp1,Vcan,1.507967291036749e-07
Thbs1,Timp3,1.52690570853764e-07
Dync1li2,Sh3pxd2a,1.534195560592977e-07
Ckap4,Postn,1.555891614435367e-07
Aebp1,Lrp1,1.572986003672838e-07
Aqp1,Nid1,1.578558234127669e-07
Cdh2,Hspg2,1.584734938830934e-07
Calu,Ganab,1.623754674051625e-07
Col6a2,Vcl,1.625918044645402e-07
Cd248,Pdia4,1.63826018084734e-07
Il6st,Postn,1.719031792468684e-07
Col5a2,Serpinf1,1.765600251557586e-07
Ldlr,Slc38a2,1.857892819590035e-07
Serpine1,Tnc,1.88537316758719e-07
Col6a3,Slc38a2,1.921135867055668e-07
Pcdh19,Tnc,1.946193056712175e-07
Ddr2,Kif1c,1.948269184870455e-07
Crim1,Lox,1.982632648056537e-07
Nid1,Timp3,2.006162309609039e-07
Bgn,Tm4sf1,2.051925264145993e-07
Bgn,Glg1,2.076115090954289e-07
Cd248,Ltbp1,2.093894190258183e-07
Bgn,Flna,2.100135871874187e-07
Col6a3,Wls,2.111342172206321e-07
Glg1,Pdia6,2.128917530042074e-07
Adm,Ier5,2.157366951749395e-07
Calu,Col6a1,2.302845906188011e-07
Col6a2,Yif1b,2.388545263798392e-07
Cd248,Ptx3,2.444465982964772e-07
Cyb5r3,Palld,2.537499553811884e-07
Col6a3,Thbd,2.538189224354781e-07
Fstl1,Pdia6,2.558759469861727e-07
Cdh2,Col5a1,2.603018193214623e-07
Col6a2,Fgfr1,2.624306160159406e-07
Lox,Nucb1,2.639764408174372e-07
Grn,Igf2,2.654473294505522e-07
Fstl1,Man2a1,2.681169889440227e-07
Dlk1,Sec61a1,2.769800874213857e-07
Ptx3,Slc3a2,2.785091772761206e-07
Gns,Ptk7,2.790760168513984e-07
Fn1,Rpn1,2.805117627069365e-07
Fstl1,Postn,2.884758951715582e-07
Fkbp9,Lox,3.003245548915956e-07
Clstn1,Fstl1,3.067570428783029e-07
Nid1,Sdc1,3.073885818105637e-07
Cyp51,Ldlr,3.161021500108774e-07
Ptx3,Stt3a,3.205347919310597e-07
Nid1,Slit2,3.219226347717097e-07
Col6a2,Itgav,3.219263803311279e-07
Emp1,Tmed7,3.245809421237311e-07
Col1a1,Fat1,3.247893632929433e-07
Bgn,Nucb1,3.286495304788417e-07
Cyb5r3,Naa50,3.362032389153669e-07
Col6a3,Ldlr,3.364558746055124e-07
Adamts1,Nid1,3.471124987441954e-07
Axl,Il6st,3.503871949250836e-07
Axl,Wls,3.54015107673078e-07
Col6a3,Lamc1,3.598848928865195e-07
Dlk1,Postn,3.621785776841691e-07
Loxl3,Pdia6,3.697785284639821e-07
Aebp1,Ltbp2,3.700288065955348e-07
Itgb1,Tgfbr3,3.807471747885316e-07
Palld,Sh3pxd2a,3.829899611895726e-07
Col6a3,Lox,3.931901031428708e-07
Col16a1,Col6a3,4.016542544116319e-07
Postn,Thbs1,4.051097592938646e-07
Pdia3,Sdc4,4.098270602881371e-07
Ptx3,Timp3,4.224504804861695e-07
Col5a1,Vcl,4.250468775834904e-07
Pdia4,Rpn2,4.254448493501428e-07
Calu,Sec61a1,4.705151762651738e-07
Pdia3,Thbs1,4.729232497835412e-07
Emp1,Fkbp9,4.908292133842806e-07
Col5a2,Serpinh1,4.914054206883733e-07
Loxl3,Postn,4.976988187133102e-07
Col1a1,Efnb2,5.039297636955098e-07
Kctd10,Sh3pxd2a,5.102700146863981e-07
Adamts1,Ppp1r15b,5.157912441600132e-07
P4hb,Serpinf1,5.205394636442762e-07
Gas1,P4hb,5.242732505905678e-07
Col5a1,Sdc4,5.32399705432951e-07
Glg1,Pdia3,5.401371123703314e-07
Itgb1,Pxdn,5.439345639457471e-07
Col6a1,Nucb1,5.457767678906933e-07
Col1a1,Wls,5.464603460847428e-07
Fbn1,Lrp1,5.490693020249182e-07
Col5a1,Nucb1,5.491151127134941e-07
Bgn,Col6a3,5.652369486908171e-07
Bgn,Emb,5.673538507888765e-07
Cyp51,Lrp6,5.682312756993824e-07
Fkbp9,Serpinh1,5.749479644601152e-07
Igf2,Lrp1,5.793317980895551e-07
Timp3,Tnc,5.858111618017858e-07
Sqle,Thbs1,5.888385657959461e-07
Sdc4,Timp3,5.908309536062362e-07
Aebp1,Wls,5.966078890917714e-07
Prc1,Smyd5,5.975041916794765e-07
Ldlr,Pcdh18,6.018493479142961e-07
Dynll2,Kctd10,6.130293760397976e-07
Hmgcr,Pcdh18,6.189226700037409e-07
Psme3,Tln1,6.191625624429875e-07
Serpinf1,Wls,6.30252256050845e-07
Loxl3,Ptk7,6.388159232706414e-07
Col6a3,Slit2,6.543901565070342e-07
Thbd,Zfp36l2,6.587646634859112e-07
Aebp1,Ptx3,6.60695838927694e-07
Hspg2,Ptx3,6.625042657804059e-07
Col5a2,Npnt,6.662288536407601e-07
Adm,Ncln,6.689677519711168e-07
Col5a1,Serpine1,6.742223112032875e-07
Dhcr24,Emp1,6.746176089977851e-07
Il6st,Sdc4,6.888071458766021e-07
Ncbp1,Tnks,6.898738207361532e-07
Ckap4,P4hb,6.940511046993336e-07
Col6a3,Fbn1,7.03640969379471e-07
Fn1,Srebf2,7.052009415309257e-07
Adamts5,Col6a3,7.075080947771539e-07
Postn,Vcl,7.162101551827504e-07
Col3a1,Ctsd,7.280858728142547e-07
Man2a1,Pdia3,7.371970616176782e-07
Nucb1,Serpinh1,7.433679209967181e-07
Aebp1,Il6st,7.440379012901843e-07
Col3a1,Rpn2,7.451017808302041e-07
Col5a1,Hyou1,7.4623581247657e-07
Myadm,Postn,7.484803506985216e-07
Serpinh1,Vcan,7.56959496528431e-07
Ckap4,Emp1,7.610218741849195e-07
Cyp51,Slc2a1,7.732000341098555e-07
Col5a1,Hspg2,7.762365350494349e-07
Atp1a1,Nid1,7.810052243817367e-07
Adm,S1pr3,7.975985630848115e-07
Col1a1,Degs1,8.164383358266747e-07
Itgb1,Postn,8.184888288242931e-07
Lox,Slc38a4,8.227336880661795e-07
Itgb1,Tmem109,8.30887900926669e-07
Fstl1,Serpinh1,8.347859078439157e-07
Actn1,Snd1,8.409127197905875e-07
Fn1,Pigt,8.478856614591024e-07
Pdia4,Sdc4,8.513102442986309e-07
Igf2,Slc38a10,8.634598205325972e-07
Chpf,Igf2,8.78264562853559e-07
Elovl1,Itgb1,8.837533446159895e-07
Fat1,Vcan,8.896820112846981e-07
P4hb,Qsox1,8.978637139334111e-07
Col3a1,Col4a2,9.068591929617398e-07
Ctsd,Timp3,9.130626832387634e-07
Il6st,Itgb1,9.200784548690777e-07
Col3a1,Col6a1,9.24945495195395e-07
Col1a1,Emilin2,9.252580337459904e-07
Pdia4,Stt3a,9.259292796937046e-07
Sec61a1,Tnc,9.325509326973958e-07
Dlk1,Timp3,9.402503468036727e-07
Plec,Timp3,9.442210804344597e-07
Fn1,Tpbg,9.456399380214364e-07
Lox,Rpn1,9.627553444468973e-07
Cyp51,Serpine1,9.645559474469323e-07
Axl,Calu,9.650401298078037e-07
P4hb,Stt3a,9.83163524703734e-07
Cdh11,Serpinh1,9.83177090185805e-07
Nid1,Serpinf1,9.849179325449597e-07
Bgn,Slc7a5,1.004954158112525e-06
Cdk1,Hnrnpd,1.016659626484895e-06
Efnb2,Nid1,1.017963846328129e-06
Hspg2,Il6st,1.035538817251158e-06
Npnt,Sdc4,1.04406686973757e-06
Col5a1,Rpn2,1.045501059504517e-06
Cd44,Slco2a1,1.053046106314071e-06
Col6a3,Stt3a,1.054063610506084e-06
Calu,Ncln,1.054308026660067e-06
Adamts1,Col3a1,1.063015781843646e-06
Fbln2,Sdc1,1.070167329642047e-06
Prss23,Serpine1,1.071861476908964e-06
Adam9,Col5a1,1.079881130183757e-06
Cd44,Cyp51,1.085149779922467e-06
Bgn,Col16a1,1.086415955198206e-06
Aebp1,Fbn1,1.090149334470603e-06
Crim1,Thbs1,1.100585621194305e-06
Nid1,Rpn1,1.106513977111589e-06
Hspg2,Vasn,1.107528288746273e-06
Calu,Ctsd,1.124190148749094e-06
Dlk1,Pdia6,1.129005961497676e-06
Cdh11,Nid1,1.139827228491264e-06
Ptx3,Scarf2,1.140415772815651e-06
Chd1,Dcakd,1.155938246122368e-06
Dlg1,Msh2,1.185594932784362e-06
Cdc37,Tln1,1.185612320764307e-06
Cd248,Pdia6,1.192245830172745e-06
Cyp51,Thbd,1.208236743099889e-06
Ctsd,Emp1,1.211463300676563e-06
Col4a2,Fat1,1.226871745307889e-06
Cd248,Crim1,1.236830696860203e-06
Cd248,Sdc4,1.255936391886259e-06
Col16a1,Loxl3,1.265995155375066e-06
Sec61a1,Vcl,1.27448483966397e-06
Chpf,Col6a2,1.301085314819872e-06
Col6a1,Timp3,1.315447856753416e-06
Fn1,S1pr3,1.336170014409888e-06
Axl,Timp3,1.351687146433633e-06
Pdia6,Slc38a10,1.367958248232881e-06
Col6a2,Man2a1,1.368179311622697e-06
Col5a2,Col6a3,1.394546864097457e-06
Sec61a1,Thbs1,1.401647392706984e-06
Atp1a1,Col1a1,1.413731724797529e-06
Atp1a1,Emp1,1.433321658139697e-06
Mogs,Plxnb2,1.440951460596196e-06
Dnmt1,Setd3,1.441576991667581e-06
Ncln,Serpinh1,1.469502959094982e-06
Fstl1,Thbs1,1.478024149625945e-06
Npnt,P4hb,1.481285379911768e-06
Fbln2,Pxdn,1.496844264314845e-06
Dhcr24,Nid1,1.503040446215742e-06
Col6a1,Myadm,1.50979890534142e-06
Cd248,Qsox1,1.52150252119565e-06
Man2a1,Plxna1,1.526423348163775e-06
Adam9,Gorasp2,1.531415238509304e-06
Col4a2,Il6st,1.536342815633418e-06
Man2a1,Nid1,1.551210477845899e-06
Itgav,Nid1,1.570919495152978e-06
Fbln2,Lbr,1.610895715042915e-06
Crim1,Slc3a2,1.625692915951937e-06
Cd44,Postn,1.629214666842849e-06
Bgn,Colec12,1.6444858449427e-06
Adm,Man2a1,1.654404373607754e-06
Fn1,Scarf2,1.747611348856815e-06
