opc,mye,opc_n,mye_n,opal,lx,ly,rep,d
0.46748881667481373,0.26352313834736496,39,3,0,7863.4,15473.9,rep2,-0.20396567832744877
0.4193073326795481,0.535320914268497,42,38,5,19455.0,14457.3,rep2,0.11601358158894892
0.2924318885464914,0.6490185926201276,25,21,0,23267.8,13796.3,rep2,0.35658670407363624
0.36622400842565467,0.6948190400287001,52,35,0,22216.5,15938.8,rep2,0.32859503160304543
0.4138954537563623,0.700533230111616,45,9,0,23228.5,15767.0,rep2,0.28663777635525367
0.8246469502428009,0.6264547770308114,35,55,0,21426.3,15897.2,rep2,-0.19819217321198945
0.31906525087592374,0.5645302980643836,47,10,0,21441.0,11984.1,rep2,0.24546504718845985
0.5071770791549359,0.5608499175318996,52,14,8,35925.3,15845.2,rep2,0.05367283837696368
0.5234043808099693,0.33594872240975615,7,15,11,15716.3,8036.6,rep2,-0.18745565840021317
0.2854482073134965,0.29045998826389535,11,36,24,15550.3,7172.7,rep2,0.005011780950398836
0.42697541175871395,0.7025662551446415,35,13,0,19436.6,16182.3,rep2,0.2755908433859276
0.47199998759113504,0.5223817645127161,52,7,0,23290.1,18006.4,rep2,0.05038177692158108
0.4695215968211094,0.4479882002735181,61,5,0,32702.7,7964.0,rep2,-0.021533396547591288
0.3836322968377996,0.6135318668404017,38,15,12,34873.9,18255.2,rep2,0.22989957000260214
0.4280835341834872,0.4301863778581983,35,29,12,34913.5,19637.8,rep2,0.0021028436747110857
0.3388996313785796,0.571111884434294,40,5,0,2058.0,11975.1,rep2,0.23221225305571436
0.4309199934417632,0.5587370004008605,48,8,0,3938.0,10957.5,rep2,0.1278170069590973
0.42782586932558514,0.49928149730982385,50,6,0,19387.1,8227.9,rep2,0.07145562798423871
0.36461085199880383,0.3638760980472175,28,18,0,33030.0,12042.0,rep2,-0.0007347539515863422
0.3433829384943317,0.5181511353631315,41,7,3,31096.2,10043.9,rep2,0.1747681968687998
0.4223620010673165,0.34581416638589674,5,18,13,31073.6,10181.4,rep2,-0.07654783468141974
0.256984798389622,0.5393776046206965,42,10,0,31031.7,11793.8,rep2,0.2823928062310745
0.388028341745813,0.4257807586572937,49,9,5,34868.5,9274.2,rep2,0.03775241691148068
0.46359741347666894,0.5663299867606493,40,3,0,22545.1,23950.1,rep2,0.10273257328398033
0.45977231783205674,0.27686803533758525,20,46,37,29696.1,4025.8,rep2,-0.1829042824944715
0.32954195249036666,0.5347533728109932,31,8,7,15179.6,8035.5,rep2,0.20521142032062656
0.43500136891708546,0.5081751925305339,59,10,0,18707.3,19942.8,rep2,0.07317382361344843
0.5483846963017233,0.5446971493214012,54,9,0,27213.4,5442.0,rep2,-0.0036875469803220318
0.39991062007677936,0.7437622487127162,68,26,2,30976.6,18688.7,rep2,0.3438516286359369
0.3550230409515762,0.6356874753836012,49,12,0,30978.2,19051.4,rep2,0.28066443443202493
0.35352774051118274,0.6960271969151339,63,22,4,31062.8,19358.0,rep2,0.3424994564039512
0.45723883219042294,0.4310991189592794,58,11,11,18899.7,23870.0,rep2,-0.026139713231143558
0.34504780653580713,0.6669453638680709,44,6,0,33841.8,23924.2,rep2,0.3218975573322638
0.5856658799239721,0.39753006062353524,24,7,4,11670.7,15523.2,rep2,-0.18813581930043688
0.4462164035971449,0.6070657287694662,74,10,0,7779.4,4183.9,rep2,0.1608493251723213
0.4391165742195438,0.6047625363029808,37,4,0,23257.2,5841.5,rep2,0.16564596208343701
0.42252354415204363,0.6021178674974216,72,8,0,23359.0,5965.6,rep2,0.17959432334537795
0.3497308752317243,0.5072795944541894,29,13,0,27471.1,19913.8,rep2,0.15754871922246505
0.39259708822968337,0.7264219475042054,51,19,0,27211.2,16410.5,rep2,0.33382485927452205
0.4498901334840019,0.5923845662958652,44,8,0,7828.1,10070.8,rep2,0.1424944328118633
0.5128040348805091,0.5721521724394304,53,7,0,27150.5,21629.6,rep2,0.05934813755892132
0.5081856331319271,0.6192093064029107,28,5,0,20845.4,4091.3,rep2,0.11102367327098361
0.535010321321187,0.6436269856429656,39,23,0,27060.7,15940.0,rep2,0.10861666432177863
0.5060710160625279,0.5130200858696587,24,6,1,39338.9,15878.6,rep2,0.0069490698071308366
0.40236539977190444,0.61821672155126,70,6,0,41086.1,15895.0,rep2,0.2158513217793555
0.36510344721861,0.5986739510389684,63,13,0,38463.7,7957.4,rep2,0.23357050382035838
0.3785959687848898,0.5148739332676695,66,8,0,4746.2,13808.5,rep2,0.13627796448277968
0.8416586016394724,0.4081895704644873,3,25,12,5774.7,14503.0,rep2,-0.4334690311749851
0.3412975545979354,0.7356883449463384,50,16,0,22609.1,14630.1,rep2,0.39439079034840296
0.4182352251772383,0.6687048573960612,63,17,0,23101.2,14010.2,rep2,0.2504696322188229
0.4450590149808544,0.6121928043947493,50,16,0,22880.4,12663.3,rep2,0.16713378941389495
0.4466485899730856,0.5550104662580764,47,9,0,23164.8,12565.2,rep2,0.10836187628499078
0.491021506573736,0.7278608773215036,57,33,0,21340.4,13761.1,rep2,0.23683937074776762
0.4752339581986919,0.6023391342348083,68,20,0,21859.4,12549.2,rep2,0.12710517603611643
0.8029242104240674,0.47605343850114323,7,47,3,21808.9,14143.6,rep2,-0.32687077192292413
0.5179872184287235,0.5935839098427558,47,13,0,21687.8,15457.5,rep2,0.07559669141403225
0.415608873183898,0.740383082411833,42,29,0,21923.1,15058.9,rep2,0.32477420922793504
0.35392428620072014,0.6614698143106793,66,25,0,22016.5,15487.5,rep2,0.30754552810995917
0.4646933469841781,0.5679524512343176,9,27,2,21256.7,14331.7,rep2,0.10325910425013951
0.39221862696168863,0.6268506083535277,40,12,0,20135.8,14753.8,rep2,0.23463198139183905
0.9785333426910814,0.5251902409103824,6,29,14,19836.8,14065.6,rep2,-0.45334310178069903
0.3544072112056631,0.6800521061541831,61,17,0,20668.4,13430.1,rep2,0.32564489494852
0.45339864549561704,0.4014980221561359,56,10,1,20360.5,13028.4,rep2,-0.051900623339481144
0.37739576988128504,0.6811964941825156,60,22,0,20840.1,12964.9,rep2,0.30380072430123056
0.3080827727055393,0.6964945553313535,31,28,0,20767.8,15354.5,rep2,0.3884117826258142
0.5014647503173997,0.6227333368023146,44,19,0,21425.1,15645.3,rep2,0.1212685864849149
0.3819817849362881,0.7417898451171276,68,17,1,20439.9,12333.4,rep2,0.35980806018083955
0.4658225317591636,0.515843086638993,9,20,25,26714.1,25040.9,rep2,0.050020554879829426
0.338128849394751,0.3002099468080132,8,19,14,26290.2,25673.2,rep2,-0.0379189025867378
0.5695879413773558,0.2678935578011847,18,24,17,24955.9,24273.6,rep2,-0.3016943835761711
0.7296077354226782,0.3006261376189335,4,29,29,25706.9,24938.9,rep2,-0.42898159780374473
0.5307814191776863,0.43660165609651813,30,10,3,25807.2,24534.9,rep2,-0.09417976308116816
0.35239084910967355,0.592648131708321,40,7,0,24423.6,26424.5,rep2,0.24025728259864743
0.4170017024922041,0.6137130756484673,63,5,0,33855.0,3848.3,rep2,0.19671137315626325
0.5287223886194226,0.4696386186092353,44,4,0,38479.6,14648.3,rep2,-0.059083770010187275
0.5617373898668351,0.6831019167024942,37,5,1,38399.9,15145.6,rep2,0.12136452683565913
0.6356315656195675,0.46073372638669446,12,12,7,37932.5,15089.5,rep2,-0.174897839232873
0.38953553184429845,0.5065543700236864,41,6,0,36339.3,14113.4,rep2,0.11701883817938796
0.572768337171979,0.5260473710446691,10,42,29,35607.7,12802.5,rep2,-0.046720966127309804
0.922141816827406,0.24842290167499237,11,21,21,35670.7,14569.6,rep2,-0.6737189151524137
0.8833555973811666,0.33121098495512963,14,21,28,35764.6,14581.6,rep2,-0.552144612426037
0.6801678400705109,0.3059975951207646,16,36,34,35738.6,14953.1,rep2,-0.3741702449497463
0.5241091484605047,0.22522972610306566,5,20,18,35255.0,15053.8,rep2,-0.29887942235743903
0.48553018788405017,0.5743634842334026,8,21,19,35275.0,13703.6,rep2,0.08883329634935239
0.5632270941069951,0.45020170695068523,45,23,26,35491.5,12460.2,rep2,-0.11302538715630989
0.3645686786838618,0.461985025760431,32,8,0,6763.7,16749.6,rep2,0.09741634707656921
0.4788675672704963,0.5157780016238981,30,28,6,7482.0,18213.8,rep2,0.0369104343534018
0.42941572067456685,0.5293705047675775,62,8,0,10241.3,28242.4,rep2,0.09995478409301067
0.6939073618957959,0.4240777537837828,9,21,9,9785.3,28391.5,rep2,-0.2698296081120131
0.49064741964235087,0.5931571140822582,57,5,0,19266.9,6230.0,rep2,0.10250969443990737
0.5135040167755676,0.2923882554677288,18,22,17,19167.4,5242.9,rep2,-0.22111576130783878
0.47138325477311194,0.5635477050925282,42,8,0,19251.7,4809.9,rep2,0.09216445031941622
0.4211043463576405,0.5297654716704356,34,6,0,18316.2,4888.2,rep2,0.10866112531279515
